AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 22.09.2016 at 11:49:43 Compatible with AeroDyn v13.0.
Polar "T1_Re1.000_M0.00_N9.0 360 M (4)" on Foil "T1_Re1.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.02          Angle of attack for zero Cn for linear Cn curve (deg)
6.42858        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5580        Cn at stall value for positive angle of attack for linear Cn curve
-0.7692        Cn at stall value for negative angle of attack for linear Cn curve
-5.50          Angle of attack for minimum CD (deg)
0.0070         Minimum CD value
     -9.00   -0.5105    0.0134
     -8.50   -0.4695    0.0122
     -8.00   -0.4207    0.0117
     -7.50   -0.3725    0.0108
     -7.00   -0.3235    0.0099
     -6.50   -0.2755    0.0088
     -6.00   -0.2267    0.0072
     -5.50   -0.1707    0.0070
     -5.00   -0.1143    0.0071
     -4.50   -0.0553    0.0072
     -4.00    0.0019    0.0071
     -3.50    0.0574    0.0072
     -3.00    0.1160    0.0072
     -2.50    0.1741    0.0072
     -2.00    0.2305    0.0073
     -1.50    0.2872    0.0074
     -1.00    0.3457    0.0074
     -0.50    0.4029    0.0074
      0.00    0.4581    0.0076
      0.50    0.5150    0.0075
      1.00    0.5730    0.0075
      1.50    0.6298    0.0076
      2.00    0.6840    0.0078
      2.50    0.7395    0.0080
      3.00    0.7969    0.0080
      3.50    0.8529    0.0082
      4.00    0.9059    0.0084
      4.50    0.9590    0.0087
      5.00    1.0154    0.0087
      5.50    1.0693    0.0089
      6.00    1.1186    0.0092
      6.50    1.1714    0.0095
      7.00    1.2238    0.0097
      7.50    1.2681    0.0102
      8.00    1.3162    0.0106
      8.50    1.3554    0.0112
      9.00    1.3832    0.0121
      9.50    1.4081    0.0133
     10.00    1.4255    0.0147
     10.50    1.4408    0.0163
     11.00    1.4516    0.0182
     11.50    1.4606    0.0200
     12.00    1.4752    0.0225
     12.50    1.4807    0.0258
     13.00    1.4902    0.0290
     13.50    1.4948    0.0329
     14.00    1.4987    0.0373
     14.50    1.4948    0.0427
     15.00    1.5036    0.0470
     15.50    1.4968    0.0534
     16.00    1.4838    0.0611
     17.00    1.4902    0.0731
     17.50    1.4962    0.0787
     18.00    1.4847    0.0870
     18.50    1.4808    0.0942
     19.00    1.4637    0.1040
     19.50    1.4595    0.1117
     20.00    1.4392    0.1224
     21.00    1.4424    0.1537
     22.00    1.4281    0.1746
     23.00    1.4148    0.1967
     24.00    1.4029    0.2197
     25.00    1.3926    0.2437
     26.00    1.3839    0.2685
     27.00    1.3769    0.2940
     28.00    1.3715    0.3203
     29.00    1.3677    0.3472
     30.00    1.3652    0.3746
     31.00    1.3640    0.4026
     32.00    1.3638    0.4311
     33.00    1.3645    0.4600
     34.00    1.3659    0.4892
     35.00    1.3679    0.5189
     36.00    1.3703    0.5488
     37.00    1.3730    0.5790
     38.00    1.3757    0.6094
     39.00    1.3784    0.6401
     40.00    1.3810    0.6709
     41.00    1.3832    0.7019
     42.00    1.3851    0.7329
     43.00    1.3865    0.7640
     44.00    1.3874    0.7952
     45.00    1.3875    0.8263
     46.00    1.3869    0.8574
     47.00    1.3856    0.8884
     48.00    1.3833    0.9193
     49.00    1.3801    0.9501
     50.00    1.3759    0.9807
     51.00    1.3707    1.0111
     52.00    1.3643    1.0412
     53.00    1.3569    1.0711
     54.00    1.3483    1.1006
     55.00    1.3385    1.1298
     56.00    1.3275    1.1586
     57.00    1.3152    1.1870
     58.00    1.3017    1.2150
     59.00    1.2869    1.2425
     60.00    1.2708    1.2694
     61.00    1.2534    1.2958
     62.00    1.2348    1.3217
     63.00    1.2148    1.3469
     64.00    1.1935    1.3715
     65.00    1.1709    1.3954
     66.00    1.1470    1.4187
     67.00    1.1219    1.4412
     68.00    1.0955    1.4630
     69.00    1.0678    1.4840
     70.00    1.0389    1.5043
     71.00    1.0088    1.5237
     72.00    0.9775    1.5422
     73.00    0.9451    1.5599
     74.00    0.9115    1.5767
     75.00    0.8769    1.5926
     76.00    0.8412    1.6076
     77.00    0.8044    1.6217
     78.00    0.7667    1.6347
     79.00    0.7280    1.6469
     80.00    0.6884    1.6580
     81.00    0.6480    1.6681
     82.00    0.6068    1.6772
     83.00    0.5648    1.6853
     84.00    0.5221    1.6923
     85.00    0.4788    1.6983
     86.00    0.4348    1.7033
     87.00    0.3903    1.7072
     88.00    0.3454    1.7101
     89.00    0.3000    1.7118
     90.00    0.2542    1.7126
     91.00    0.2081    1.7122
     92.00    0.1618    1.7108
     93.00    0.1153    1.7084
     94.00    0.0686    1.7049
     95.00    0.0220    1.7003
     96.00   -0.0247    1.6947
     97.00   -0.0713    1.6880
     98.00   -0.1178    1.6804
     99.00   -0.1640    1.6717
    100.00   -0.2100    1.6620
    101.00   -0.2556    1.6512
    102.00   -0.3009    1.6396
    103.00   -0.3456    1.6269
    104.00   -0.3899    1.6133
    105.00   -0.4335    1.5988
    106.00   -0.4765    1.5833
    107.00   -0.5187    1.5670
    108.00   -0.5602    1.5498
    109.00   -0.6008    1.5317
    110.00   -0.6405    1.5128
    111.00   -0.6793    1.4931
    112.00   -0.7170    1.4726
    113.00   -0.7536    1.4514
    114.00   -0.7891    1.4294
    115.00   -0.8234    1.4067
    116.00   -0.8565    1.3834
    117.00   -0.8883    1.3594
    118.00   -0.9188    1.3348
    119.00   -0.9479    1.3096
    120.00   -0.9756    1.2839
    121.00   -1.0018    1.2576
    122.00   -1.0265    1.2309
    123.00   -1.0497    1.2037
    124.00   -1.0714    1.1761
    125.00   -1.0914    1.1481
    126.00   -1.1099    1.1197
    127.00   -1.1267    1.0911
    128.00   -1.1419    1.0621
    129.00   -1.1554    1.0329
    130.00   -1.1671    1.0035
    131.00   -1.1772    0.9740
    132.00   -1.1856    0.9443
    133.00   -1.1923    0.9145
    134.00   -1.1973    0.8846
    135.00   -1.2005    0.8547
    136.00   -1.2021    0.8249
    137.00   -1.2019    0.7951
    138.00   -1.2000    0.7653
    139.00   -1.1965    0.7357
    140.00   -1.1913    0.7063
    141.00   -1.1845    0.6770
    142.00   -1.1760    0.6480
    143.00   -1.1660    0.6192
    144.00   -1.1544    0.5908
    145.00   -1.1412    0.5626
    146.00   -1.1266    0.5349
    147.00   -1.1105    0.5075
    148.00   -1.0930    0.4806
    149.00   -1.0741    0.4542
    150.00   -1.0539    0.4282
    151.00   -1.0323    0.4028
    152.00   -1.0096    0.3779
    153.00   -0.9856    0.3537
    154.00   -0.9606    0.3300
    155.00   -0.9344    0.3071
    156.00   -0.9072    0.2847
    157.00   -0.8791    0.2631
    158.00   -0.8500    0.2423
    159.00   -0.8202    0.2221
    160.00   -0.7895    0.2028
    161.00   -0.7581    0.1842
    162.00   -0.7261    0.1665
    163.00   -0.6935    0.1496
    164.00   -0.6603    0.1336
    165.00   -0.6267    0.1184
    166.00   -0.5928    0.1042
    167.00   -0.5585    0.0909
    168.00   -0.5239    0.0785
    169.00   -0.4891    0.0670
    170.00   -0.4543    0.0565
    171.00   -0.4193    0.0470
    172.00   -0.3844    0.0384
    173.00   -0.3496    0.0309
    174.00   -0.3148    0.0243
    175.00   -0.2803    0.0187
    176.00   -0.2460    0.0141
    177.00   -0.2120    0.0106
    178.00   -0.1784    0.0080
    179.00   -0.1453    0.0065
    180.00   -0.1126    0.0060
    180.00   -0.1165    0.0060
